,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Controleblad definitieve scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"De formules volgen H01 en de goedgekeurde ontvlochten C-alt. Aanpassen van een thema-intensiteit herberekent A, B, C-alt en totaal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nr,Gemeente,Route,Regio,Provincie,Bron-ID,Bestand,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,Mobiliteitssectie,C5-anker,A1,A2,A3,A4,A5,Score A,B1,B2,B3,B4,B5,Score B,CA1 T04,CA2 T08,CA3 T09,CA4 T10,Score C-alt,Totaal,# int.3
33,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,2,3,3,2,2,2,0,2,1,2,3,Nee,Ja,1,2,2,1,2,8,2,2,2,2,2,10,2.5,2.5,1.25,2.5,8.75,26.75,2
34,Enschede,Rechtstreeks,Rechtstreeks,Overijssel,SRC-034,Enschede.pdf,2,2,2,2,3,3,1,1,1,1,3,Ja,Ja,2,2,2,2,2,10,2,2,2,2,2,10,2.5,1.25,1.25,1.25,6.25,26.25,2
35,Gennep,Via regio,RMO Noord-Limburg / Trendsportal,Limburg,SRC-035,Gennep.pdf,3,3,2,3,2,3,1,0,0,0,3,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,2.5,0,0,0,2.5,21.5,4
36,Gouda,Rechtstreeks,Rechtstreeks,Zuid-Holland,SRC-091,Gouda_Samenlevingsakkoord_2026-2030.pdf,2,2,2,2,2,2,2,2,0,2,2,Nee,Ja,1,2,2,1,1,7,2,2,2,2,2,10,2.5,2.5,0,2.5,7.5,24.5,0
37,Groningen,Rechtstreeks,Rechtstreeks,Groningen,SRC-036,Groningen.pdf,3,3,3,3,3,3,3,3,2,2,3,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,2.5,2.5,2.5,2.5,10,29,8
38,Gulpen-Wittem,Via regio,RMO Zuid-Limburg,Limburg,SRC-037,Gulpen-Wittem.pdf,3,3,3,3,0,3,0,3,0,0,3,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,2.5,2.5,0,0,5,24,6
39,Haarlem,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-038,Haarlem.pdf,3,3,3,2,3,3,1,0,2,0,3,Ja,Ja,2,2,2,2,2,10,2,2,2,2,2,10,2.5,0,2.5,0,5,25,5
40,Hardenberg,Rechtstreeks,Rechtstreeks,Overijssel,SRC-039,Harderberg.pdf,2,2,3,2,2,3,0,0,0,2,2,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,2.5,0,0,2.5,5,24,2
41,Heerlen,Via regio,RMO Zuid-Limburg,Limburg,SRC-040,Heerlen.pdf,3,3,3,2,3,3,3,3,0,3,3,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,2.5,2.5,0,2.5,7.5,26.5,8
42,Helmond,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-041,Helmond.pdf,1,2,2,2,2,2,2,0,2,0,2,Nee,Ja,1,2,2,1,1,7,1,2,2,2,2,9,2.5,0,2.5,0,5,21,0
