,,,,,,,,,,,,,,,,,,,,,
Register van alle aangetroffen bestanden,,,,,,,,,,,,,,,,,,,,,
Overgenomen uit de goedgekeurde invoercontrole; exacte bestandsnamen en classificaties blijven behouden.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
source_id,zipdeel,pad in bronset,bestandsnaam,gemeente of regio,aansluittype,regio,documenttype,bestuursperiode,pagina's,tekstkwaliteit,teksttekens,tekens/pagina,analyse_status,primair telbaar,omvang MB,SHA-256,metadata titel,versleuteld,PDF-versie,opmerking,exacte hash-doublure
SRC-027,Deel 1,part1/Dordrecht.pdf,Dordrecht.pdf,Dordrecht,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,72,Goed,117787,1635.9,Gereed,Ja,8.46,8698400fb72484b84c9b0947fbe76951d9db5b5e8c116e01e7739503f6468f6c,Coalitieakkoord 2026-2030 Gemeent Dordrecht,no,1.7,,Nee
SRC-028,Deel 1,part1/Druten.pdf,Druten.pdf,Druten,Via regio,Regio Arnhem-Nijmegen,GEMEENTELIJKE_BRON,2026–2030,44,Goed,36633,832.6,Gereed,Ja,7.04,70088a4458d0aceab32985370007878e5e4549b177cc3dc8e52189e6075fbe79,,no,1.5,,Nee
SRC-029,Deel 1,part1/Duiven.pdf,Duiven.pdf,Duiven,Via regio,Regio Arnhem-Nijmegen,GEMEENTELIJKE_BRON,2026–2030,12,Goed,20796,1733,Gereed,Ja,5.44,cfee023d97b2b17c62741e50bc980f9870521fbeb0e732752b07b0c665596487,,no,1.7,,Nee
SRC-030,Deel 1,part1/Ede.pdf,Ede.pdf,Ede,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,31,Goed,94338,3043.2,Gereed,Ja,7.28,25be6a6fe1413f797b10c1e173794487ba8630bc98e1ce8b8543b0911cceabe3,Bestuursakkoord 2026 - 2030,no,1.7,,Nee
SRC-031,Deel 1,part1/Eijsden-Margraten.pdf,Eijsden-Margraten.pdf,Eijsden-Margraten,Via regio,RMO Zuid-Limburg,GEMEENTELIJKE_BRON,2026–2030,26,Goed,45046,1732.5,Gereed,Ja,4.49,e6efdfdd14591b5027cc11c1f6b592440017fe7590ad1b1583fd43f48cab0a7a,,no,1.4,,Nee
SRC-032,Deel 1,part1/Eindhoven.pdf,Eindhoven.pdf,Eindhoven,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,57,Goed,105520,1851.2,Gereed,Ja,1.82,7d3481b560c898cd4128513fb0417e9a81f01bf095865a791772162f720c6fb8,Coalitieakkoord 2026,no,1.7,,Nee
SRC-033,Deel 1,part1/Emmen.pdf,Emmen.pdf,Emmen,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,23,Goed,81056,3524.2,Gereed,Ja,1.53,2e5c1bd60e6037a282461eed509d37123e34dd22fdf9c94d82ef8af3aabea649,Coalitieakkoord gemeente Emmen 2026-2030: Samen bouwen aan de toekomst van de gemeente Emmen,no,1.7,,Nee
SRC-034,Deel 1,part1/Enschede.pdf,Enschede.pdf,Enschede,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,51,Goed,109886,2154.6,Gereed,Ja,5.21,6a9a4df143448c7b2f27d9c5dd23407b6f87676e7e091ea8b50b55e415c584d8,Coalitieakkoord gemeente Enschede 2026-2030,no,1.7,,Nee
SRC-035,Deel 1,part1/Gennep.pdf,Gennep.pdf,Gennep,Via regio,RMO Noord-Limburg / Trendsportal,GEMEENTELIJKE_BRON,2026–2030,34,Goed,54560,1604.7,Gereed,Ja,2.43,33151458f1dc83506c19bf945a65a49d46219fe1337e544ebe1765442a9b9e67,,no,1.4,,Nee
SRC-036,Deel 1,part1/Groningen.pdf,Groningen.pdf,Groningen,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,47,Goed,149213,3174.7,Gereed,Ja,4.44,ac66bfaeb45aef774d6d617270e1bcfb0c6de8b9589d3efe8da1081bc7055257,,no,1.5,,Nee
SRC-037,Deel 1,part1/Gulpen-Wittem.pdf,Gulpen-Wittem.pdf,Gulpen-Wittem,Via regio,RMO Zuid-Limburg,GEMEENTELIJKE_BRON,2026–2030,34,OCR,0,0,Nader controleren,Ja – na OCR,12.58,44baa63f984e3c57ecda1538bd918058caa8e54629705a2f6469411b7470aedb,Bijlage - Coalitieakkoord Gulpen-Wittem - iBabs versie (B.26.02775).pdf,no,1.7,Volledig beeld-PDF zonder tekstlaag; OCR vereist vóór inhoudelijke analyse.,Nee
SRC-038,Deel 1,part1/Haarlem.pdf,Haarlem.pdf,Haarlem,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,30,Goed,62387,2079.6,Gereed,Ja,3.79,39b0dac4c7135a07318d8ffec69cf252a966cdf8d8c1065342706af91b6370cd,Coalitieakkoord 2026-2030,no,1.7,,Nee
